"﻿http://court.gov.ua/log_documents/24901288/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:29:17...";"Єдиний унікальний номер: 761/33146/17";"Номер провадження: 1-кс/761/21102/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000144";;;;;
"http://court.gov.ua/log_documents/24918414/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:29:28...";"Єдиний унікальний номер: 761/33247/17";"Номер провадження: 2/761/7233/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24918448/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:28:25...";"Єдиний унікальний номер: 761/33245/17";"Номер провадження: 3/761/6956/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918487/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:51:15...";"Єдиний унікальний номер: 761/33246/17";"Номер провадження: 1-кс/761/21154/2017";"Номер провадження слідчих органів: 3/2016/10/011/0000096";;;;;
"http://court.gov.ua/log_documents/24918550/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:30:18...";"Єдиний унікальний номер: 761/33248/17";"Номер провадження: 3/761/6957/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918616/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:33:29...";"Єдиний унікальний номер: 761/33250/17";"Номер провадження: 2/761/7234/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24918667/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:32:25...";"Єдиний унікальний номер: 761/33249/17";"Номер провадження: 3/761/6958/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918882/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:35:19...";"Єдиний унікальний номер: 761/33251/17";"Номер провадження: 3/761/6959/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918896/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:37:15...";"Єдиний унікальний номер: 761/33253/17";"Номер провадження: 2/761/7235/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24918915/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:54:12...";"Єдиний унікальний номер: 761/33252/17";"Номер провадження: 1-в/761/408/2017";"Спеціалізація: Кримінальні справи";;;;;
"http://court.gov.ua/log_documents/24919207/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:41:03...";"Єдиний унікальний номер: 761/33254/17";"Номер провадження: 2/761/7236/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24919357/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:44:44...";"Єдиний унікальний номер: 761/33256/17";"Номер провадження: 2/761/7237/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24919414/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:55:08...";"Єдиний унікальний номер: 761/33255/17";"Номер провадження: 1-в/761/409/2017";"Спеціалізація: Кримінальні справи";;;;;
"http://court.gov.ua/log_documents/24919545/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:48:17...";"Єдиний унікальний номер: 761/33257/17";"Номер провадження: 2/761/7238/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24919820/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:56:47...";"Єдиний унікальний номер: 761/33258/17";"Номер провадження: 1-кс/761/21155/2017";"Номер провадження слідчих органів: 1/2016/10/010/0014175";;;;;
"http://court.gov.ua/log_documents/24923385/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:11:47...";"Єдиний унікальний номер: 761/33259/17";"Номер провадження: 2/761/7239/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24923562/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:10:15...";"Єдиний унікальний номер: 761/33260/17";"Номер провадження: 2/761/7240/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24923695/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:08:54...";"Єдиний унікальний номер: 761/33261/17";"Номер провадження: 2/761/7241/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24923900/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 9:29:42...";"Єдиний унікальний номер: 761/33262/17";"Номер провадження: 1-кс/761/21156/2017";"Номер провадження слідчих органів: 1/2016/10/010/0007599";;;;;
"http://court.gov.ua/log_documents/24924055/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:07:07...";"Єдиний унікальний номер: 761/33263/17";"Номер провадження: 2/761/7242/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24924462/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:04:12...";"Єдиний унікальний номер: 761/33264/17";"Номер провадження: 2/761/7243/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24924547/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 9:36:07...";"Єдиний унікальний номер: 761/33265/17";"Номер провадження: 1-кс/761/21157/2017";"Номер провадження слідчих органів: 1/2017/10/010/0007615";;;;;
"http://court.gov.ua/log_documents/24924734/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 9:31:47...";"Єдиний унікальний номер: 761/33266/17";"Номер провадження: 1-кс/761/21158/2017";"Номер провадження слідчих органів: 1/2017/10/010/0008791";;;;;
"http://court.gov.ua/log_documents/24924885/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:01:53...";"Єдиний унікальний номер: 761/33267/17";"Номер провадження: 2/761/7244/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24925061/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 15:00:08...";"Єдиний унікальний номер: 761/33268/17";"Номер провадження: 2/761/7245/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24925492/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:45:07...";"Єдиний унікальний номер: 761/33271/17";"Номер провадження: 2/761/7246/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24925867/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:42:35...";"Єдиний унікальний номер: 761/33274/17";"Номер провадження: 2-а/761/734/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24926014/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:40:50...";"Єдиний унікальний номер: 761/33277/17";"Номер провадження: 2/761/7247/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24926066/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 10:41:21...";"Єдиний унікальний номер: 761/33278/17";"Номер провадження: 1-кс/761/21165/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000627";;;;;
"http://court.gov.ua/log_documents/24926211/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:37:52...";"Єдиний унікальний номер: 761/33280/17";"Номер провадження: 2-н/761/424/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24926562/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 10:46:13...";"Єдиний унікальний номер: 761/33282/17";"Номер провадження: 1-кс/761/21168/2017";"Спеціалізація: Клопотання, заяви, скарги (цивільна колегія) відповідно до РЗС від 31.01.2017";;;;;
"http://court.gov.ua/log_documents/24926668/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:36:07...";"Єдиний унікальний номер: 761/33283/17";"Номер провадження: 2-а/761/735/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24926724/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 10:48:18...";"Єдиний унікальний номер: 761/33285/17";"Номер провадження: 1-кс/761/21170/2017";"Спеціалізація: Клопотання, заяви, скарги (цивільна колегія) відповідно до РЗС від 31.01.2017";;;;;
"http://court.gov.ua/log_documents/24926984/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:34:20...";"Єдиний унікальний номер: 761/33286/17";"Номер провадження: 2/761/7248/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24927014/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 10:50:54...";"Єдиний унікальний номер: 761/33287/17";"Номер провадження: 1-кс/761/21171/2017";"Номер провадження слідчих органів: 1/2016/11/013/0001082";;;;;
"http://court.gov.ua/log_documents/24927166/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 14:30:09...";"Єдиний унікальний номер: 761/33290/17";"Номер провадження: 2/761/7249/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24927193/2610/";"Дата та час початку автоматичного розподілу  21.09.2017 10:52:43...";"Єдиний унікальний номер: 761/33291/17";"Номер провадження: 1-кс/761/21174/2017";"Номер провадження слідчих органів: 1/2016/11/013/0001082";;;;;
